pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,label
-1.427805580976762856e-01,5.362120228517475509e-03,-9.032365603429264034e-02,-2.161071491615901632e-02,-4.856725749744721099e-02,3.529557438392200153e-02,-1.111355646373540645e-01,-4.098159037217390804e-02,0
1.899842380981250217e-02,1.916910436101973425e-02,-8.731027451965040626e-03,1.584572936235923435e-01,7.773598065710930760e-02,-2.852110601144178942e-02,3.343408067215908330e-02,-8.246028385216870593e-02,0
-1.487005699978492801e-01,-6.507247101651145171e-02,-1.970691444604053336e-02,-1.309385363767602561e-02,9.087623116895064690e-02,-8.676101181005697882e-02,-2.064623090280244197e-02,-1.307276378204341727e-01,0
-8.876961849071206626e-03,-2.004628873432961200e-01,6.292607080065638903e-02,-1.042494638319902828e-01,1.166406232411894561e-01,-1.564493345937729984e-02,4.531424299134905256e-03,-6.122548246398239712e-03,0
-3.314173209313733826e-02,7.366926270450083192e-02,-1.829025713312475154e-02,-1.100769076260658536e-01,1.733111812248603473e-02,-2.102330702783617930e-02,-9.431854290315688782e-02,2.582915155236056165e-02,0
-1.834075742143866927e-01,-3.811403120668075545e-02,3.316208597838989774e-02,-3.274632434795070324e-02,9.953462205914638040e-05,4.554824020297247589e-02,-5.501981117309474173e-02,-5.764196918838141587e-02,0
-7.806379852438290190e-02,-5.150430354893076844e-03,1.309142702640573100e-02,-4.850015246457836833e-03,3.099937584258077861e-02,2.039113573271256197e-02,2.915076108249625361e-02,9.022261022555532264e-03,0
6.505540846389373799e-02,-1.011696902762333067e-01,9.231118905541742248e-02,8.544399392785252678e-02,-5.994560760447890935e-02,-1.069050470204901265e-01,2.347360816292079835e-02,3.035085896249034576e-02,0
1.432027417941399983e-01,-6.220224745389573567e-02,8.171614571089572121e-02,-3.274286810979711027e-02,-2.172219374830122382e-02,1.700494684657040748e-02,7.244092464664007858e-02,-7.854963224828449830e-02,0
3.488995947808553461e-02,6.409169706205052053e-02,-1.078928982123916747e-01,6.697746702243088934e-02,-8.839370731111946544e-02,-3.443884546778443190e-02,-1.604731135473325826e-02,-2.233523410232104989e-02,0
-1.627760423815827195e-02,-3.152957513812785790e-03,-2.939393336898304607e-03,3.888753929837866080e-02,-3.472931681644173679e-02,-3.765579828351177383e-02,-9.882457948644637891e-02,1.832395515481986120e-02,0
-2.676808669284905934e-02,3.428285461052841404e-02,3.514606081339215204e-02,-1.273906029937197093e-01,-4.159510837718508741e-02,-3.720943190092308034e-02,1.041733906319440746e-02,-1.982722191966059672e-02,0
1.226889094182049070e-02,4.364570827415676507e-02,-1.276216734533414388e-01,1.452184465936068834e-02,-1.314862413496080407e-02,8.399601997262176947e-03,4.057985364990048666e-02,1.139068052306739520e-02,0
4.418527226033039379e-02,-3.570390467619239533e-02,8.919754553933957608e-02,-7.727126030712502813e-03,1.410102419372946392e-01,-1.447389299441954602e-01,5.059819406691220406e-02,1.026634197613854153e-02,0
3.237808822859582214e-02,-4.689774029700682217e-02,5.915260717537063756e-02,5.010707392578150204e-02,-3.040372319022811506e-02,2.581893750802290860e-02,-1.154741641327895335e-01,-1.514852074385398539e-01,0
-1.221831195602813142e-01,1.082844863509787453e-01,-2.686994214920301882e-02,9.212157127887497798e-02,-3.329540115049435013e-03,-5.355367155086878522e-02,-8.708048379153964652e-03,4.771734460187616877e-02,0
-5.087242303337838334e-02,-1.193907393428096653e-01,4.125179284302030874e-02,2.541490893009281521e-02,-2.091065755059628647e-02,7.501873030305049317e-02,1.378429273831978223e-04,-5.243486773910258775e-02,0
6.085275623961809710e-02,-2.613542164508901242e-02,-3.227807142747936286e-02,-1.394103714762712776e-01,-9.722607904503029197e-02,2.459191372283174234e-02,6.022635429876592797e-03,4.227996158626178697e-02,0
3.951938773024291779e-02,-5.518667672476867958e-02,-4.655775885574289091e-02,-6.001747232066996507e-02,-5.475479014606301088e-04,1.213537291447410772e-02,7.929129323720061906e-02,-7.989504187355592202e-02,0
7.755207539542467721e-02,5.715748200257882161e-02,7.540374818966884274e-02,4.684195651071383637e-02,-8.555062158606234479e-02,6.210145655288377975e-02,-1.312317565407093885e-02,-5.633627458243236491e-02,0
-2.942743938430284964e-02,-6.017048100508936431e-02,3.268226154343061018e-02,1.156884239143148446e-01,-1.024915449322460204e-01,-1.039467910716905946e-01,-1.104106331121817719e-01,-5.408414035400687520e-02,0
5.928437570953634661e-02,1.547209396071597999e-02,6.699956108164623059e-02,-5.313003364097959591e-02,-4.897823637741186183e-03,-7.216900193351558079e-02,-2.757310278420013056e-02,5.518498097200335434e-02,0
-9.137670912153100788e-02,-7.982806680244776409e-02,-9.687312268809013249e-02,1.418594066486233811e-02,-7.138204959905755653e-02,1.118069780815912767e-01,-2.820694320679993650e-02,4.862675017543920813e-02,0
5.262657056073237645e-03,1.417727980153413725e-01,4.223023238070362784e-02,-5.768615963901734672e-02,-5.639956241656728791e-02,6.894958940658653390e-02,3.092985104733500870e-02,-2.795501443623321647e-02,0
5.038414012704224565e-02,-1.540759164716160867e-01,2.203172093298289436e-03,-3.398517213468615211e-02,6.248689493196468714e-02,8.467467838206493846e-02,8.223328432285414991e-02,6.219803611202814192e-02,0
1.171864737608035133e-02,5.207322021193039330e-02,-1.151279876768444843e-01,2.665898314801761967e-02,1.414654697624653096e-02,-6.933379301067511824e-02,2.800027330410898713e-02,7.614631416102314587e-02,0
-7.265568968844099418e-02,4.268561453996523591e-02,-2.964606721442373735e-02,-6.011138257066757362e-02,2.490308171058297840e-02,1.938930423013200677e-02,2.338557519815981020e-02,-4.090400112015645136e-03,0
3.747609470294616107e-02,3.409821518709962840e-04,8.179819888665851302e-02,4.600786459357816827e-02,2.621518105760410611e-03,3.717031317870939100e-02,9.576961764628767748e-02,4.008856021958355498e-02,0
1.250108201282254805e-01,8.459605527232783029e-02,4.912367132142160010e-03,-1.048771043300510686e-01,1.189507286267173919e-02,-3.611095247033705574e-02,-2.661394203473267314e-02,7.925744920215896383e-02,0
-1.085199210904945477e-01,7.101350030989195261e-02,7.205675112025167195e-02,2.111381929923654768e-02,-2.155404823696365282e-02,5.768859335051773965e-03,5.278757527609104910e-02,-4.214547355954374047e-02,0
5.545115500507113993e-02,8.925757337898743149e-03,-3.215513157136677680e-02,9.164660211716828264e-02,-9.032562724338330518e-02,5.635303819206316511e-02,8.620594981090658887e-03,-3.833592479918659923e-02,0
2.349350661336405827e-02,-6.635153303817528658e-02,4.526650334251024546e-03,1.681399995099147962e-02,-3.320617216078999845e-02,-5.573051184866924593e-03,-1.143783293933675616e-01,1.424367616791171257e-02,0
-4.382386049868203237e-02,-5.503496646765576941e-03,-5.074006993247833636e-02,1.100398004651406553e-01,-4.705231429161970541e-02,5.571468705634047280e-02,1.229687559972390404e-01,1.082986352325572693e-01,0
-6.635124742875825321e-02,-3.880649582320453567e-02,-1.471488791071727531e-01,3.950233205272069698e-02,-7.355072204047280460e-02,-9.880290660418565574e-02,1.866286527738655540e-02,-1.359289460957414063e-02,0
-5.852479208635018304e-02,6.906326733702418397e-02,-1.213787774092287691e-02,3.132490143159932794e-02,1.044349557595079109e-01,1.123262591665088184e-01,2.922941344919685602e-02,-1.110330355392588619e-01,0
8.188028238543364201e-02,-9.366466324744823768e-02,-6.344806885259115722e-03,-8.290283605794464272e-02,-4.489337183621373156e-02,3.958785892656675742e-02,1.026763953468208257e-01,-4.469421331453667795e-02,0
7.383074940995694446e-02,1.390596353807378900e-02,-7.833539946727914594e-02,-1.185417618430347798e-02,-2.756094282495908862e-02,1.416926275751929365e-01,8.479550251362376334e-02,9.594318878066505907e-02,0
-3.356714629737016231e-02,1.185637149589193057e-01,4.019956427860511827e-02,3.452813592008249777e-02,2.332651056363274633e-02,6.624172413032460016e-02,4.312056326958031705e-02,-1.470781842669709009e-02,0
-8.185737150828507891e-02,3.985747246886639505e-02,-8.073717636942068232e-02,7.367742123239977292e-02,-1.072800009638451985e-02,5.757069871052940269e-02,-1.350057109141124083e-02,-5.144551396996098133e-03,0
6.532153523725623377e-03,1.082726286170647007e-01,8.037274849122014175e-02,7.211418045705027258e-03,5.185868720743688071e-02,-1.220431603108631212e-02,-7.517311876158781769e-02,-5.378840296341843435e-02,0
-9.684848228810105653e-02,8.712557232469756233e-03,3.247143946188911501e-02,9.093707759287232573e-02,-9.021446147350857536e-02,4.090463111702894589e-02,6.095161307216461453e-03,-4.332532981543496531e-02,0
3.252563068228436771e-02,-2.127700016773171124e-02,4.957059310776482097e-02,1.472266943080481061e-01,-1.259083978498875267e-01,7.394540870743848693e-02,-1.899238239644846643e-02,-1.623386649003322971e-03,0
1.069890286802960416e-01,-4.108979361241027126e-03,4.594277479730017599e-02,3.929491478367450052e-02,-2.425031005336820977e-01,3.985690827261507974e-02,1.431940882515035374e-01,-2.094393638304542504e-02,0
4.363412107475107479e-03,1.573693990081357144e-02,7.437920765089438280e-02,-4.278174169126954668e-02,8.789858403277950316e-02,-1.184418053338845509e-03,-2.583526013959856413e-02,-6.246267161223451742e-02,0
-1.118045238725474816e-01,-4.825943755710780658e-02,-3.445208152059114903e-02,4.571971675757378895e-02,4.571889604880078478e-02,7.300347217854870341e-02,-3.347994597282974438e-02,1.466541096839039764e-02,0
1.034712133123472100e-02,-1.067407914496281418e-01,-2.988447154151235852e-02,1.125344903296470328e-01,-4.463374787700253102e-03,-8.805550922528219276e-03,-4.428151913238149995e-02,2.673748944556255530e-02,0
-1.050153074255825159e-01,7.777020820902279252e-02,5.818863125667793519e-03,-7.378868313698883075e-02,-5.253865211032717614e-02,-4.485031751643904670e-03,-4.205625447761567048e-02,2.541774239282789533e-02,0
-1.108411041900932287e-01,8.418831878973655203e-02,8.836844215813180470e-02,1.532417901557726198e-02,-1.148599251046965308e-02,-1.645007419983792601e-02,-3.499813837747333539e-02,8.227816174788324388e-02,0
1.981507654121798453e-02,-1.050262965798397646e-01,7.765032803621985114e-02,1.520570506445751216e-02,-7.467616028918493305e-03,-9.984242066598396359e-02,8.659136713346120284e-02,2.896063709289903657e-02,0
1.083654628976969680e-01,-1.045708430431806779e-01,-9.423868114407206453e-02,6.103465056591748927e-02,-6.551540946022885170e-02,8.425299774481781467e-02,-3.914065318605576549e-02,-2.803108994800161419e-03,0
-7.619474959702840500e-02,-9.841441241259965556e-02,6.564522947719299284e-02,1.411141348931471418e-01,2.185197478557726961e-02,-3.025093671639197609e-02,-2.097648925703888417e-02,1.117805073319043108e-01,0
-5.871974581359042794e-02,7.855786658120876564e-02,-1.180106348759420304e-01,1.171951641451659393e-01,3.090581205744791574e-02,3.740746825153252325e-02,-4.468674733476225153e-02,3.144674738459290325e-02,0
1.730565786726138283e-02,-5.566999265860186202e-02,-6.133637494957418224e-02,1.171227040016874082e-01,-1.230445999551438158e-01,-4.610356472466246858e-02,-1.047656193695861576e-01,-8.830810446456590149e-03,0
-7.190652004559001942e-02,8.716871639846951458e-02,-1.545104363449868734e-01,-1.206861470058144536e-01,-9.211292549471933322e-02,-4.347189120265563395e-02,-4.700448143167342691e-02,-1.501013116340589593e-02,0
1.890051473016752734e-02,-2.263358453731134298e-02,-4.607167766827927058e-02,5.064881272656395622e-02,-1.532489718135746082e-01,-1.211295178909814890e-01,-4.659091258024857657e-02,-3.755488916715818415e-02,0
5.996404823468353545e-02,-6.606803945121038357e-02,-7.432040373391816945e-02,-8.886560337507903515e-03,2.821407038059932024e-02,-3.180470014529800105e-02,-1.316364054161896571e-02,1.060845240043690602e-01,0
4.403823299804030672e-02,-1.597762189247316500e-01,-4.152417877405163715e-02,-3.456445184991579350e-02,-9.756266244701081169e-02,8.774134686245700643e-02,4.959110304721227325e-02,-1.412969826983613043e-02,0
-7.548341255794142890e-02,-4.960676454659774387e-02,1.293441978522769618e-02,-1.221926652292071834e-02,1.059620924056222935e-01,-1.439263377813836120e-01,-6.122800741568283633e-03,3.064172460360551839e-02,0
